,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
51,2026-01-30 15:20:00,PAXG,4h sobrevenda,OK,LONG,FECHADO,"4,803.55",0.05,240.1775,1,,2026-01-30 16:02:00,"4,913.09",0.05,100.0,5.5,2.29,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.19,2026-01-30,2.29,2026-01-30 16:02:00,5.5
52,2026-01-30 17:24:00,CHZ,Retração da Alta,Entrada Errada,LONG,FECHADO,0.04906,"5,000",245.3,1,,2026-01-31 06:48:00,0.04708,"5,000",100.0,-9.9,-4.04,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.2,2026-01-30,-4.04,2026-01-31 06:48:00,-9.9
53,2026-01-31 07:58:00,PENDLE,RSI Extremos,Entrada Errada,LONG,FECHADO,1.675,100,167.5,1,,2026-01-31 08:36:00,1.6643,100,100.0,-1.1,-0.66,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.13,2026-01-31,-0.66,2026-01-31 08:36:00,-1.1
54,2026-01-31 09:46:00,AXS,RSI Extremos,Stopado cedo - Medo de perder,LONG,FECHADO,1.87,200,374,1,,2026-01-31 11:57:00,1.88,200,100.0,2.0,0.53,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.3,2026-01-31,0.53,2026-01-31 11:57:00,2.0
55,2026-01-31 10:43:00,BCH,RSI Extremos,Entrada Errada,LONG,FECHADO,529.72,1,529.72,1,,2026-01-31 11:45:00,516.43,1,100.0,-13.3,-2.51,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.42,2026-01-31,-2.51,2026-01-31 11:45:00,-13.3
56,2026-02-01 17:18:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,11.985,25,299.625,1,,2026-02-01 17:30:00,12.514,25,100.0,13.2,4.41,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.24,2026-02-01,4.41,2026-02-01 17:30:00,13.2
57,2026-02-01 17:42:00,RIVER,"1 Min Scalp, topo padrão",Entrada Errada,LONG,FECHADO,12.2,25,305,1,,2026-02-01 17:47:00,11.345,25,100.0,-21.4,-7.02,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.24,2026-02-01,-7.02,2026-02-01 17:47:00,-21.4
58,2026-02-01 17:58:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,11.312,50,565.6,1,,2026-02-01 18:13:00,11.733,50,100.0,21.1,3.73,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.45,2026-02-01,3.73,2026-02-01 18:13:00,21.1
59,2026-02-01 20:00:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,10.81,10,108.1,1,,2026-02-01 20:03:00,11.386,10,100.0,5.8,5.37,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.09,2026-02-01,5.37,2026-02-01 20:03:00,5.8
60,2026-02-02 08:24:00,RIVER,"1 Min Scalp, base padrão",OK,LONG,FECHADO,21.004,10,210.04,1,,2026-02-02 08:27:00,21.316,10,100.0,3.1,1.48,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.17,2026-02-02,1.48,2026-02-02 08:27:00,3.1
